date,value
2006:01,1963
2006:02,2052
2006:03,2360
2006:04,3045
2006:05,1359
2006:06,4110
2006:07,4064
2006:08,4574
2006:09,6439
2006:10,4562
2006:11,3493
2006:12,3152
2007:01,2005
2007:02,2142
2007:03,2338
2007:04,3927
2007:05,1269
2007:06,4194
2007:07,4517
2007:08,4982
2007:09,6516
2007:10,5472
2007:11,5324
2007:12,4872
2008:01,1964
2008:02,1987
2008:03,3154
2008:04,2258
2008:05,1989
2008:06,4327
2008:07,3693
2008:08,6030
2008:09,5230
2008:10,5038
2008:11,4171
2008:12,2871
2009:01,2126
2009:02,2751
2009:03,2219
2009:04,3193
2009:05,1963
2009:06,4207
2009:07,4051
2009:08,5093
2009:09,5712
2009:10,5767
2009:11,3597
2009:12,2876
2011:01,2097
2011:02,2331
2011:03,2629
2011:04,3362
2011:05,1949
2011:06,4788
2011:07,4884
2011:08,4900
2011:09,6944
2011:10,6723
2011:11,5254
2011:12,4816
2012:01,2008
2012:02,2231
2012:03,2118
2012:04,3597
2012:05,1821
2012:06,5232
2012:07,4090
2012:08,5139
2012:09,6681
2012:10,5081
2012:11,4045
2012:12,3437
2013:01,2000
2013:02,2183
2013:03,4167
2013:04,2744
2013:05,2020
2013:06,5725
2013:07,4180
2013:08,5857
2013:09,6337
2013:10,5404
2013:11,4514
2013:12,3059
2014:01,2134
2014:02,2660
2014:03,3038
2014:04,3919
2014:05,2562
2014:06,5143
2014:07,4382
2014:08,5875
2014:09,6042
2014:10,5474
2014:11,4013
2014:12,3102
2015:01,2014
2015:02,2486
2015:03,2097
2015:04,3913
2015:05,2168
2015:06,4457
2015:07,4331
2015:08,5528
2015:09,5822
2015:10,5717
2015:11,3873
2015:12,3826
2016:01,1832
2016:02,1854
2016:03,2598
2016:04,2555
2016:05,2007
2016:06,4561
2016:07,4574
2016:08,4470
2016:09,5372
2016:10,4682
2016:11,2884
2016:12,2543
2017:01,1900
