"Регион","Сердечно-сосудистые заболевания  на 1 000 человек","Количество спортивных сооружений на 1000 человек","Процент расходов на алкогольную продукцию, табачные изделия и наркотики","Болезни нервной системы на 1000 человек"
"Алтайский край","46.1","2.35","2.51","22.4"
"Амурская область","21","2.5","3.26","16.5"
"Архангельская область","26.8","2.01","2.27","14.7"
"Астраханская область","41.9","1.42","2.75","17.4"
"Белгородская область","37.1","2.87","4.59","18.8"
"Брянская область","34.4","1.85","2.98","10"
"Владимирская область","26.3","2.06","2.78","9.1"
"Волгоградская область","24.6","1.56","2.65","8.9"
"Вологодская область","26.1","1.44","2.67","22.2"
"Воронежская область","37","2.5","3.62","8"
"г. Москва","11.8","1.63","2.37","8.4"
"г. Санкт-Петербург","30.5","0.96","3.1","15.8"
"г. Севастополь","35","0.64","3.7","10.2"
"Еврейская автономная область","20.2","2.35","5.02","3.9"
"Забайкальский край","27.5","1.5","2.92","7.4"
"Ивановская область","38.3","1.79","4.22","16.1"
"Иркутская область","34.3","1.45","3.79","17"
"Кабардино-Балкарская Республика","22.9","1.7","1.36","8.5"
"Калининградская область","47.8","1.61","4.76","12.3"
"Калужская область","31.4","1.54","2.7","19.4"
"Камчатский край","23.5","1.74","4.62","13.9"
"Карачаево-Черкесская Республика","48.2","1.3","1.1","21.2"
"Кемеровская область","36.2","2.09","2.64","21.6"
"Кировская область","35","1.62","3.55","7.7"
"Костромская область","26.7","2.04","3.25","8.3"
"Краснодарский край","57.2","1.46","1.85","16.3"
"Красноярский край","32.8","1.65","4.24","13.3"
"Курганская область","98.3","2.8","2.85","12.7"
"Курская область","31.4","1.72","5.12","7"
"Ленинградская область","41.6","1.45","4.51","11.8"
"Липецкая область","32.3","2.58","2.96","4.9"
"Магаданская область","16.5","2.2","2.17","6.6"
"Московская область","25.7","0.7","2.25","9"
"Мурманская область","21.2","1.29","4.09","13.6"
"Ненецкий автономный округ","41.2","3.31","4.64","43.4"
"Нижегородская область ","36.5","1.63","2.36","14.5"
"Новгородская область","35.3","2.23","1.53","7.8"
"Новосибирская область ","36","1.33","5.99","11.8"
"Омская область","40.2","2.15","2.18","12.7"
"Оренбургская область","43.7","2.13","2.74","13.2"
"Орловская область","34.8","1.74","3.41","17"
"Пензенская область","46.1","2.69","4.58","13.9"
"Пермский край","27.5","1.59","3.47","12.6"
"Приморский край","29","1.6","2.34","18.1"
"Псковская область","24.7","1.71","5.22","9.8"
"Республика Адыгея","44.7","1.84","2.16","20.3"
"Республика Алтай","26.4","1.6","3.44","17"
"Республика Башкортостан","39.4","2.45","2.28","26.2"
"Республика Бурятия","26.4","1.77","4.47","16.8"
"Республика Дагестан","24","1.03","0.55","24.2"
"Республика Ингушетия","27.2","0.74","0.24","14.9"
"Республика Калмыкия","19.4","1.88","1.42","8.4"
"Республика Карелия","35.1","2.06","4.63","21"
"Республика Коми","22.3","1.82","3.17","10.6"
"Республика Крым","29.8","1.23","3.32","8.8"
"Республика Марий Эл","34.9","2.14","2.76","12.8"
"Республика Мордовия","46.7","2.19","3.53","14.2"
"Республика Саха (Якутия)","24.5","1.52","2.42","18.6"
"Республика Северная Осетия – Алания","26.3","1.78","1.34","11.9"
"Республика Татарстан","49.7","1.5","2.26","17.2"
"Республика Тыва","20.7","2.04","2.47","11.1"
"Республика Хакасия","41.2","1.73","4.61","33.5"
"Ростовская область","64","2.02","2.15","26.6"
"Рязанская область","37","1.85","3.33","11"
"Самарская область","24.8","1.39","3.9","12.7"
"Саратовская область","49.4","1.4","2.13","12.8"
"Сахалинская область","16.8","1.87","1.7","6.5"
"Свердловская область ","34.1","1.7","3.76","14.6"
"Смоленская область","30.1","2.68","1.77","9.1"
"Ставропольский край","38.4","1.49","2.82","16.3"
"Тамбовская область","29.1","3.72","2.01","10.7"
"Тверская область","26.5","2.93","4.66","15.1"
"Томская область","28.1","1.45","3.12","7.9"
"Тульская область","38.1","1.38","3.17","15.2"
"Тюменская область","25.7","1.7","3.04","11.7"
"Удмуртская Республика","53","1.71","3.71","9"
"Ульяновская область","32.6","1.5","2.05","13.4"
"Хабаровский край ","21.8","1.75","1.99","5.8"
"Ханты-Мансийский автономный округ – Югра","21.5","1.4","2.91","12.2"
"Челябинская область","34.7","1.59","4.31","15.3"
"Чеченская Республика","37.5","1.21","0.09","15.9"
"Чувашская Республика","32","2.83","2.56","10.1"
"Чукотский автономный округ","32.6","1.57","5.69","30.8"
"Ямало-Ненецкий автономный округ","28.5","1.72","3.34","21.7"
"Ярославская область","19.8","1.6","2.17","10.4"
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
