"Субъект РФ","Зарегистрированно преступлений
на 10000 чел., за 2022 год","Процент населения в возрасте старше трудоспособного","Уровень безработицы","Оценка туристического потока, по числу поездок","Процент расходов на алкогольную продукцию, табачные изделия
и наркотики","Количество спортивных
сооружений на 1000 человек","Количество собственных легковых автомобилей на 1000 человек населения по субъектам Российской Федерации1);2)","Прожиточный минимум"
"Алтайский край","172.72446310454","25.4","3.8","1883894","2.5083695766454","2.3497113895537","364.17090968817","11262"
"Амурская область","210.3880133329","21.1","4.1","478703","3.2573474784447","2.5033060037027","312.44462429152","14704"
"Архангельская область","156.91047334878","26.5","5.4","719229","2.2684072280154","2.0135229193596","341.41619240406","14679"
"Астраханская область","117.21925978308","22","7.1","449375","2.7462420809181","1.4169997896066","300.36809996665","12274"
"Белгородская область","95.227091284972","26.3","3.7","822949","4.5941583956498","2.8715747771542","336.28981193468","10629"
"Брянская область","115.92518979338","26.2","3.2","348222","2.9787562665668","1.8498915401302","213.60514704925","11934"
"Владимирская область","122.79597690946","27.8","2.6","945382","2.7805872850092","2.0550735571482","315.61210402034","12274"
"Волгоградская область","147.0784531352","25.2","3.5","1115743","2.645286891862","1.562689769645","427.81806249815","10882"
"Вологодская область","152.79521965355","25.2","3.4","907605","2.6696790382861","1.4361655001329","357.439257536","12781"
"Воронежская область","133.14810913074","27.1","3.5","1954381","3.6157525605863","2.5012033431059","362.42835676297","10756"
"Еврейская автономная область","205.68025950556","22","4.9","61775","5.0226125202428","2.3457627118644","293.7785674565","17053"
"Забайкальский край ","199.48881948351","19.3","8.7","406981","2.9205108329013","1.5034260378879","318.64748007162","14805"
"Ивановская область","120.6959028291","27.8","3.2","530009","4.2247591483669","1.7896578113043","347.17975347782","11642"
"Иркутская область","160.64848243672","21.7","5","1370720","3.7885367256577","1.4459989762839","270.34073265198","13413"
"Кабардино-Балкарская
Республика","85.193690428461","18.3","10.1","832908","1.3637191690723","1.7004317502491","275.33971166855","13540"
"Калининградская область","123.04437771364","23.6","3.1","1350137","4.7644051769737","1.6099970938681","370.29746896138","13034"
"Калужская область","144.70145451817","25.8","3.9","770594","2.7009089191311","1.5370249322999","296.6056031967","12148"
"Камчатский край","174.2862259517","19.3","2.9","257597","4.6198842752107","1.7422930377555","576.21999792193","22930"
"Карачаево-Черкесская
Республика","95.558346383927","20","9.9","427838","1.0987191994364","1.300170794193","206.69919990436","11515"
"Кемеровская область","180.74532921292","24.3","4.1","1065010","2.6416506682883","2.091737403629","327.72858278711","11515"
"Кировская область","149.97813375662","29","3.8","801547","3.5536257949373","1.6184869519374","310.40266687286","11262"
"Костромская область","131.89942910164","28.1","3.3","428108","3.2456306476161","2.0423150900507","328.95960832313","11691"
"Краснодарский край","135.60730445559","24.2","3.6","22914287","1.8543674422232","1.4601412541027","305.22094840571","12148"
"Красноярский край ","159.90978422129","22","2.7","2036076","4.2433447735671","1.6454050254788","304.98410673527","14046"
"Курганская область","167.04944693424","28.4","6.3","478923","2.8529244159734","2.8046218487395","427.40281465258","11895"
"Курская область","124.10666824169","27.2","2.9","333049","5.1227941065644","1.7207122774133","329.54901155914","11009"
"Ленинградская область","149.4518164498","25.1","3.4","11691683","4.5064399458043","1.4502421187864","298.82787890108","12781"
"Липецкая область","125.17060555995","26.4","3.7","488599","2.9612987044216","2.5827932167273","389.67630118365","10503"
"Магаданская область","173.19096735793","19.3","4.1","89323","2.1688088500784","2.2040208488459","391.01366191416","22018"
"Москва","109.35884754864","26.3","2.3","16908169","2.3707070754751","1.626196181377","282.27198091112","18714"
"Московская область","95.321357858883","22.3","3.1","16795275","2.253307696336","0.69788284041575","323.09360995263","14748"
"Мурманская область","166.67770949628","21","4.7","604148","4.0869432797336","1.2934568088659","409.96025492714","20227"
"Ненецкий автономный округ ","154.01885945218","18.2","7.4","36643","4.6447084413566","3.30917887","229.00708020202","23108"
"Нижегородская область","125.32066429748","26.5","4.1","2397809","2.3641332741401","1.6285936790188","427.59450025748","11895"
"Новгородская область","181.10347722088","27.4","3.1","1375624","1.5262901690405","2.2330265671123","346.34657924803","12401"
"Новосибирская область","168.37799770672","23.7","4.7","2909307","5.9853445631936","1.3298500518914","351.68019079071","12775"
"Омская область","122.76355804693","24.6","5.3","844496","2.1789008933871","2.1516292778778","275.66231310697","11305"
"Оренбургская область","112.9702199651","24.5","3.5","707509","2.7421495120318","2.1309872922776","427.69568643466","11009"
"Орловская область","115.43298221243","27.8","4","339503","3.4071792823295","1.7363986862773","350.32187309004","11768"
"Пензенская область","104.18645246464","28.1","3.7","357000","4.5774530885553","2.6857051179207","336.90034325117","10629"
"Пермский край ","160.45903321741","23.8","3.4","1109986","3.4711491607598","1.5942433423696","357.36730729977","11642"
"Приморский край ","180.37467304272","23.4","3.3","1912340","2.344229797489","1.5993626723806","491.89868994482","15058"
"Псковская область","142.07083651256","28.2","3.9","1022006","5.2182977984065","1.7080639673358","398.29631872824","12527"
"Республика Адыгея","93.69261647521","22.7","7.1","263346","2.1595399007248","1.8393574297189","412.44615801681","10882"
"Республика Алтай","206.98775495466","17.6","9.7","692490","3.4400207663739","1.6034155597723","245.41559717036","11895"
"Республика Башкортостан","126.82429720732","23.1","3.4","2136314","2.2835199536916","2.4477633902295","392.07818324505","11009"
"Республика Бурятия","203.07766206778","19.2","7.4","666638","4.4677759486474","1.7658526575005","271.59798405135","13793"
"Республика Дагестан","45.52203857055","13.2","12.1","680140","0.54872850456259","1.028101439342","207.32380184193","11515"
"Республика Ингушетия","42.609787466273","8.8","30","92830","0.24346754686533","0.74359468310537","181.72220745244","11895"
"Республика Калмыкия","100.57664440759","21.5","8.1","101392","1.4240792964926","1.875236294896","336.29004510687","11768"
"Республика Карелия ","196.49558009309","27.6","5.8","1490099","4.6298126257677","2.0572078045084","455.40842615746","15104"
"Республика Коми ","184.16208553574","23.2","6.6","261071","3.1693829078144","1.8238128011012","346.3067532632","15368"
"Республика Крым","109.57117011084","25.6","5","4528063","3.3235426577154","1.2296535893155","223.22927997371","12274"
"Республика Марий Эл ","115.28695147106","24.7","3.6","249211","2.759803049318","2.1419009370817","255.82868897446","11136"
"Республика Мордовия ","105.19377219651","27.8","3.6","267066","3.5260209067772","2.1895255379829","337.64210051428","10756"
"Республика Саха (Якутия)","131.03319675642","15.8","6.5","257219","2.4216448602756","1.5186447473937","229.21814618596","19108"
"Республика Северная
Осетия-Алания ","117.20271346443","21.8","11.9","338215","1.3357520842853","1.781989128838","323.26205879415","11389"
"Республика Татарстан ","134.2864016653","23.6","2.3","3908170","2.2649362827097","1.5038984406238","282.31430981164","10756"
"Республика Тыва ","199.00243228536","10.2","9.5","76513","2.4664484622966","2.0367625259413","167.35206999712","12781"
"Республика Хакасия ","179.67664638924","22.3","3.3","363096","4.6087458713881","1.7276499434176","442.01700007355","12907"
"Ростовская область","137.81720334068","25.2","3.5","1991662","2.1532571451831","2.020650738384","334.69330517821","11895"
"Рязанская область","84.356845861225","28.4","2.9","770107","3.3322114720721","1.8486546055652","399.64533601245","11262"
"Самарская область","150.2688618395","25.7","2.7","1599350","3.9023428821987","1.3882966875617","319.43151759182","11895"
"Санкт Петербург","117.10081798188","25","2","9772334","3.1039554349091","0.96160714285714","290.204326966","13160.2"
"Саратовская область","123.67855604439","26.3","3.4","1007852","2.1334825843946","1.3992265790677","331.38775788542","10629"
"Сахалинская область","175.78282322374","23","4.2","421225","1.6988770122565","1.8671298306557","355.42792621625","17209"
"Свердловская область","121.52408110048","24","3.5","3100631","3.7606322843519","1.7017763204454","441.97684400286","12274"
"Севастополь","120.08267296483","22.8","4","419986","3.698344236455","0.63944116066631","261.88441855508","12654"
"Смоленская область","160.58585094784","27.5","3.4","645249","1.7669058175236","2.6758304696449","263.89940449532","12148"
"Ставропольский край ","120.74293828798","22.7","4.3","2398071","2.817916977351","1.4876175982291","259.56660270254","11389"
"Тамбовская область","140.66488342318","29.4","3.3","365685","2.0052959873578","3.7214115699058","387.25174644243","11100"
"Тверская область","173.56668482104","27.9","3.7","1074194","4.6639230965798","2.9251981505945","407.63369366974","12148"
"Томская область","173.90181072054","22.5","5.4","491088","3.1186841607295","1.446630548427","316.99942781431","12731"
"Тульская область","110.47278667011","29","3.6","1088500","3.1682431362826","1.3830577117786","372.3711095256","12401"
"Тюменская область","151.9893721475","22.1","4","1370254","3.0400325226212","1.698647210033","345.15950945419","12654"
"Удмуртская Республика ","165.60230656266","23.9","2.9","752657","3.7115502305637","1.7140479822493","306.7565909124","11262"
"Ульяновская область","100.99097235892","27.6","4.2","528492","2.0507054546394","1.4953429297206","323.97803228773","11262"
"Хабаровский край ","164.06744379043","22","2.6","827892","1.9865250441881","1.7514212288763","308.21593502013","16871"
"Ханты-Мансийский автономный
округ","119.70109972742","15.8","2","901296","2.9114355275336","1.40256","378.72214513455","16932"
"Челябинская область","183.82931522381","24.2","3.1","1763973","4.3094395156507","1.5946112529717","373.523874094","11887"
"Чеченская Республика ","15.932608232595","9.8","11","305843","0.089387472345751","1.2138012001044","200.36342077303","12148"
"Чувашская Республика","106.22239615363","24.4","3.2","725978","2.5584886120189","2.8290146607569","246.58853693859","10756"
"Чукотский автономный округ","170.46362909672","12.9","1.9","37303","5.6917415122094","1.5690376569038","117.26588628763","28851"
"Ямало-Ненецкий автономный
округ","120.57227000799","12.3","1.6","363807","3.3401792736979","1.71935","352.40355434467","18029"
"Ярославская область","149.65173869933","26.7","5","1536624","2.1695771842018","1.6013728444668","308.04240732292","11895"
